date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-05-09,0.0,2.0,15.0,23.0,4.0,6.0,100.0,60.0,17.0,0.0,1.0,2.0,0.0,9.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2022-05-10,0.0,0.0,25.0,44.0,6.0,0.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0
2022-05-11,0.0,2.0,17.0,48.0,9.0,0.0,100.0,60.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0
2022-05-12,0.0,1.0,8.0,17.0,6.0,6.0,100.0,60.0,8.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2022-05-13,1.0,1.0,10.0,27.0,8.0,2.0,100.0,60.0,7.0,0.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
2022-05-14,0.0,1.0,13.0,34.0,9.0,2.0,100.0,60.0,6.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-05-15,0.0,1.0,2.0,24.0,4.0,0.0,100.0,60.0,5.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
2022-05-16,0.0,1.0,8.0,16.0,22.0,0.0,100.0,60.0,11.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2022-05-17,1.0,2.0,7.0,35.0,1.0,3.0,100.0,60.0,9.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0
2022-05-18,1.0,0.0,16.0,34.0,8.0,1.0,100.0,60.0,5.0,0.0,1.0,0.0,0.0,28.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
